,City,cityID,clusterID,Typology,Country,Car Modeshare (%),Public Transit Modeshare (%),Bicycle Modeshare (%),Walking Modeshare (%),Gasoline Pump Price (USD/liter),Road Deaths Rate (per 1000),Subway Length (km),Subway Length Density (per km),Subway Stations per Hundred Thousand,Subway Ridership per Capita,Subway Age (years),BRT Length (km),BRT System Length Density (per km),BRT Stations per Hundred Thousand Persons,BRT Fleet per Hundred Thousand Persons,BRT Annual Ridership per Capita,BRT Age (years),Bikeshare Stations,Bikeshare Stations per Hundred Thousand Persons,Bikeshare Number of Bikes,Bikeshare Bicycles per Hundred Thousand Persons,Bikeshare Age (years),Congestion (%),Congestion AM Peak (%),Congestion PM Peak (%),Traffic Index,Travel Time Index,Inefficiency Index,Population,Land Area (sq. km),Population Density (per sq. km),Population Change 1990 – 2000,Population Change 2000 – 2010,Population Change 2010 – 2020,Population Change 2020 – 2025,Urbanization Rate 2015 (%),Urbanization Rate Change 2015 – 2025 (pp),GDP per Capita (USD),Unemployment Rate (%),Cost of Living Index,Rent Index,Grocery Index,Restaurant Price Index,Local Purchasing Power Index,Gini Coefficient,Poverty Rate (%),Life Expectancy (years),Safety Index,Internet Penetration,Digital Penetration,Innovation Index,Smartphone Penetration (%),CO2 Emissions per Capita (metric tonnes),Pollution Index ,Street length total (m),Street Length Density (m/sq. km),Street Length Average (m),Intersection Count,Intersection Density (per sq. km),Degree Average,Streets per Node,Circuity,Self-Loop Proportion,Highway Proportion,Metro Propensity Factor,BRT Propensity Factor,BikeShare Propensity Factor,Development Factor,Sustainability Factor,Population Factor,Congestion Factor,Sprawl Factor,Network Density Factor,AvgTemperature,coordinates,Temperature,Humidity,Location
170,Kinshasa,75.0,3.0,Congested Boomer,Democratic Republic of the Congo,,,,,1.12,33.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,11380000.0,583.0,19500.0,1894282.0,3001047.0,3907049.0,2212987.0,42.5,5.3,388.3,,,,,,,0.39,61.6,59.8,,3.8,0.13,17.0,,0.038311184,,5662358.948,4485981307.0,108.63664,28937.0,792.2460141,5.749735891,2.899666389,1.027114402,0.000232088,0.0,0.0529588532,0.0709361289,0.3496545378,0.019779517,0.1752553166,0.5766484405,0.5898011532,0.3673595458,0.4257631366,,"(-4.3217055, 15.3125974)",25.92,82,"(-4.3217055, 15.3125974)"
171,Pretoria,227.0,2.0,BusTransit Sprawl,South Africa,,,,,1.19,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,26.0,56.0,51.0,275.67,52.71,352.3,3030000.0,1230.0,2500.0,172106.0,384128.0,285724.0,140687.0,64.8,4.6,11925.0,,,,,,,0.72,39.2,62.9,21.1,52.6,0.45,31.0,37.0,8.859169093,70.8,5904610.706,5184588210.0,175.4869886,19581.0,878.0575838,5.197412091,2.822165273,1.08652939,0.005011559,0.021008629,0.0696108664,0.1494783239,0.3902162753,0.2737529776,0.109900891,0.1339203318,0.5061826889,0.6429932528,0.3587302923,,"(-25.7459374, 28.1879444)",16.62,88,"(-25.7459374, 28.1879444)"
172,Lusaka,330.0,1.0,Congested Emerging,Zambia,12.0,21.0,,62.0,1.46,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,2660000.0,313.0,8500.0,315866.0,645586.0,1045507.0,731386.0,40.9,4.8,1627.3,,51.32,29.96,37.22,33.52,124.62,0.5,27.5,61.8,,20.4,0.17,,,0.25086314,,2597621.506,5777078701.0,143.7771354,10837.0,2223.987863,5.500935745,2.825951341,1.047414147,0.000567022,0.0,0.0558238113,0.0561062741,0.3318375453,0.126954148,0.2848873968,0.2530978501,0.628004092,0.1708999279,0.4216535563,,"(-15.4164488, 28.2821535)",20.76,88,"(-15.4164488, 28.2821535)"
173,Caracas,324.0,2.0,BusTransit Sprawl,Venezuela,41.0,46.0,0,13.0,0.01,37.2,63.6,0.21559322,1.707317073,172.4738676,34.0,5.0,0.016949153,0.383275261,1.045296167,3.135888502,6.0,0,0.0,0.0,0.0,0.0,,,,224.2,50.23,238.33,2870000.0,295.0,9700.0,96978.0,312502.0,678798.0,313509.0,89.0,0.6,15890.0,,37.03,9.96,36.94,39.48,2.71,0.38,,74.1,14.05,61.5,0.47,30.0,45.0,6.128008629,77.67,3946558.983,3168604268.0,164.22783,13771.0,802.8777175,4.464556398,2.673930004,1.211820976,0.003944478,0.028539235,0.5195226615,0.2134267509,0.3904873077,0.2364775648,0.1901257575,0.0864520679,0.6190657605,0.9753653228,0.2224464746,80.4,"(10.506098, -66.9146017)",19.72,77,"(10.506098, -66.9146017)"
174,Maracaibo,325.0,2.0,BusTransit Sprawl,Venezuela,,,,,0.01,37.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,2065000.0,407.0,5100.0,420493.0,531105.0,518386.0,235175.0,89.0,0.6,13709.0,,,,,,,0.48,,74.1,,61.5,0.47,,45.0,6.128008629,,4491062.224,3607336940.0,105.8039961,24768.0,803.225776,5.716536546,2.995972728,1.036317104,0.001520226,0.007745999,0.0681653366,0.1287039686,0.3724586984,0.2655353494,0.2367947559,0.087921448,0.545636791,0.9349943615,0.4373981131,,"(10.6499149, -71.6396282)",27.86,79,"(10.6499149, -71.6396282)"
175,Medina,216.0,2.0,BusTransit Sprawl,Saudi Arabia,92.0,8.0,0,0.0,0.54,27.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,1260000.0,350.0,3600.0,265660.0,311462.0,384509.0,186731.0,83.1,1.9,21395.4,,,,,,,,,74.5,,65.9,0.44,,,17.92748481,,4315613.541,3740257958.0,119.2059647,22865.0,866.6804667,5.098924731,2.994210091,1.043383682,0.000535315,0.0,0.0676311906,0.1232720424,0.3873685843,0.310008337,0.2590295313,0.0760249273,0.5266767163,0.7700974239,0.4297348946,,"(29.2836281, -99.1126826)",0.71,18,"(29.2836281, -99.1126826)"
176,Tbilisi,97.0,6.0,Hybrid Giant,Georgia,,,,,0.93,11.8,27.1,0.110162602,2.0,90.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,136.8,39.1,137.27,1100000.0,246.0,4500.0,-124035.0,17026.0,32211.0,17856.0,53.6,2.5,4084.0,,31.82,10.51,24.73,31.36,34.99,0.37,10.5,74.4,79.27,48.9,0.37,32.0,,1.988881356,77.51,2552597.53,2942098816.0,161.3831656,9194.0,1152.590168,4.777618122,2.67821824,1.095135777,0.001026113,0.00107361,0.3908791494,0.056805452,0.4325468684,0.242249839,0.4482343452,0.0678884864,0.5809903843,0.4577688,0.3207171573,,"(41.6934591, 44.8014495)",2.4,93,"(41.6934591, 44.8014495)"
177,Dakar,218.0,1.0,Congested Emerging,Senegal,11.0,76.0,,,1.31,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,3200000.0,194.0,16500.0,623821.0,897404.0,1301222.0,836381.0,43.7,4.1,1092.3,,,,,,,0.37,33.1,66.7,,50.7,0.14,24.0,19.0,0.592298342,,3381262.869,2758881704.0,60.10065533,34054.0,815.9323338,5.852764647,2.990306475,1.023374362,0.000254107,0.007272022,0.1120832229,0.0632992503,0.3426684655,0.0773851292,0.3026309199,0.2646108602,0.7395531444,0.2641853705,0.3730301462,78.5,"(14.693425, -17.447938)",23.57,83,"(14.693425, -17.447938)"
178,Virginia Beach(VA),293.0,7.0,Auto Sprawl,United States,88.9,1.8,0.4,3.8,0.61,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18.0,24.0,39.0,,,,1465000.0,1334.0,1100.0,110898.0,201015.0,278455.0,138477.0,81.6,1.7,47115.0,,,,,,,0.444,7.9,79.0,,75.4,0.78,41.0,72.0,12.42,,4514028.663,2153701756.0,144.9917664,16696.0,477.1129996,4.754260127,2.560844148,1.079682344,0.011406844,0.016347222,0.027074546,0.1407229974,0.3365956028,0.7272436255,0.3690003994,0.0448568588,0.1374650289,0.6646530963,0.2409506625,,"(36.8529841, -75.9774183)",9.56,82,"(36.8529841, -75.9774183)"
179,Brazzaville,77.0,1.0,Congested Emerging,Congo,,,,,0.89,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,1915000.0,181.0,10600.0,318126.0,535504.0,516590.0,290099.0,65.4,4.0,2798.1,,,,,,,0.45,43.3,64.7,,8.2,0.17,,,0.56494545,,3836065.181,3038891338.0,92.7885729,22611.0,792.1897035,5.773535639,2.917889908,1.017837433,2.44e-05,0.0,0.0714523333,0.0722423378,0.3495769988,0.0603079129,0.2483552007,0.1791082455,0.6887528332,0.3826712323,0.4076045538,78.0,"(-4.2694407, 15.2712256)",26.39,79,"(-4.2694407, 15.2712256)"
